"nodename","intercept","age","sexmale","bmi","children","smokeryes","regionnorthwest","regionsoutheast","regionsouthwest","r-squared"
"86094",-1888.63893451785,268.261074312526,-727.571465602531,-36.2811999423162,402.129421889913,33680.6352524775,-386.3482775636,-621.594922395962,-964.590231852292,0.997762335909884
"172189",-1177.88252143953,270.63268732514,-737.753696389255,-57.3181275696985,341.167250672014,33880.5954728852,-387.955977867443,-176.87620310306,-1223.1429716002,0.998213281787802
"344379",1636.61567324123,356.32623936476,-2126.58762635072,-205.773586727357,366.089845436479,38906.819572357,-2598.10135097856,1277.8330245243,-5005.36018871463,0.999673829163428
"86095",7678.98163726486,276.186461289181,-6356.54028454151,-428.070951499145,1332.71872225702,32963.8615284987,7652.05081432012,10186.3620229474,NA,1
"5381",-1832.81309268587,-17.4477612936484,-418.875319278674,448.068463479389,881.965065520909,17286.518186686,-9018.79187114282,-6500.40726899123,-4638.18390130691,0.99446426468502
"10763",-7218.34390221948,-51.2989347012193,-1147.81174288414,686.322932349164,1132.06564492073,21410.0970028652,-10014.2199961341,-8150.16138363928,NA,1
"2691",-9814.41718742504,199.894539724284,291.75385735355,323.831764846187,364.294271170244,23952.9195790476,-437.634299639436,260.515650880902,-626.006874896778,0.770993187659536
"5382",-9347.35122342232,220.905544836632,107.855349507695,297.139447979232,271.280118758678,24334.1151912035,-672.730602532793,774.828955506956,-1020.36724053565,0.765148536710484
"10764",-7056.14016986731,274.165066893524,-296.884281918406,107.524261620389,708.092128279388,33046.5758073986,115.406367472623,-1128.07504620818,-1075.6357804429,0.998457072904255
"21528",-7604.63101245725,295.278578990478,55.9781720112128,120.053592303477,550.999485549598,34376.9375552033,-462.149509339827,-2052.4118915461,-2936.60331623894,0.999374913304332
"43057",-7983.52138663985,306.223528527991,-536.697708606664,109.274471221161,477.706717693896,34616.7952258421,250.655384969297,-1075.02740336592,-2177.55133087018,0.999522960204233
"86114",-5460.19303264095,266.076169139466,-759.630023738875,75.9015727002969,652.873715133532,34715.8584510386,NA,-1152.35859940653,-730.902516320479,1
"10765",-8712.1185265811,202.119713101789,544.091863396463,300.166714721266,197.141462823017,22506.5811120451,-149.868917470221,1900.62874079943,-1306.22016247852,0.721815211001526
"21530",-7434.35082370164,227.029120800692,262.621051036572,215.040214668644,349.392522503342,22661.8549287472,-985.840854147837,2767.9562578241,-1187.49269581775,0.779312908986028
"43060",-3858.22242626523,225.901003500373,1375.45156912601,101.469194693606,299.411259223811,25576.021833064,-1797.48164599926,2559.97637380127,-1212.77500213036,0.827306479308247
"86120",2394.89283607188,258.125959861772,-3263.59395448881,-90.1318704711161,909.012386260869,33192.4528764568,-1818.16548851758,3615.60299555622,-1688.88535411459,0.884780310770171
"172240",-702823.378978463,4078.33816059057,-151271.6223712,17729.8083603602,-30737.3484453651,75527.3451598895,82825.604437917,77104.7525691985,-1104.56117378404,1
"344481",55370.958449278,878.227859971115,-2164.38507730212,-2410.74597920278,860.943474038131,59325.3881133969,NA,-13989.6683447949,NA,1
"172241",37225.2622862587,107.997695101447,-9039.35336893828,-1239.91938186215,3234.38628931463,35012.3704872521,7126.43196307963,38899.1281706911,-2170.48238372806,0.942312707114774
"344482",36322.3678116175,105.012076538541,-9265.69464101976,-1200.41319584384,3287.43065307507,35110.2697737687,6673.93538342705,37924.5050015356,-2001.27943962638,0.942581795202344
"688964",69249.5189436173,162.691957738586,-14644.8546630738,-2429.10385490021,4089.33797449306,51944.8851901312,-1577.77741403172,58005.5683752366,-5736.75637612096,0.999391224779061
"1377929",88912.3116513369,1617.34159457546,-23763.7467342068,-4432.09289422612,1826.01313802764,174984.749442591,-104582.913473208,NA,NA,1
"86121",-14290.2506536025,141.319420287736,5135.37605114,426.80864581584,705.117909608079,21652.049469812,206.707489525731,3530.09904949861,3153.79389643559,0.913753998980591
"172243",-2657.02752559753,281.400471106426,-280.027962226057,-55.8438214569221,782.169909529834,32635.6259184844,-456.364877726021,-16877.4979209773,5050.73167048234,0.998382358137382
"344487",-342.064366972427,355.490697247709,2700.57410091745,-274.015504587161,2961.24168807343,30127.2153853211,-6235.13489908267,NA,-1231.40935266064,1
"21531",-13448.9858394415,169.247090044693,1772.18713098827,525.624711633779,-436.118015740806,21718.7187200168,2121.2884195972,463.133779452802,-1413.93612672834,0.674792704407808
"43062",-62888.5239432815,446.232583695294,-7104.89552247047,1539.09327812382,-143.222338279228,29557.4338889208,7844.37089207842,6114.05539139903,6212.33291922619,0.866072920940114
"86124",-36583.392810386,188.550051097988,-8233.24995216898,923.392500104418,-184.402301218539,31681.641446268,9854.204367494,11821.4010979548,11664.8336600737,0.948036532711102
"172248",22377.4341424358,166.705513595895,1971.38689983896,-668.64109006572,103.881146377081,34699.4211160424,1306.90453909735,-2131.73163848696,-1453.30877848605,0.999915090809596
"344497",-21973.8379379847,416.674558426645,-839.945136568094,337.235822566757,1689.06004574601,32988.0913126615,NA,-1206.01645669443,NA,1
"43063",-15703.089091341,120.717539735137,1998.65731553989,691.506074951369,594.276783674292,18707.897800636,-77.2098129653812,4578.73109026474,-2940.38469681748,0.712540744165989
"86126",-13737.7492280652,119.107451660008,1902.88593542159,608.502964788844,1102.71618164703,17929.1829186579,815.145562026532,4963.45146368426,-3399.45909771339,0.692863813026762
"172252",-28470.8457496055,120.151012939227,8067.06602114074,940.420226825273,-88.8067264778814,16048.7131952456,7252.15999556604,9719.65655816164,-4995.39689996735,0.87694341685247
"344504",93428.2040279471,-1704.23130184466,34798.6379215468,-833.794925629182,-10539.0853190781,-10911.0077457734,88825.2972826685,NA,NA,1
"344505",-21583.3461739649,151.829595933266,2299.12212232857,897.450652020095,-3394.07365630157,16847.1480195377,2805.25392652184,15677.012016443,NA,1
"5383",-28648.2599066891,10.3804908136151,-1357.0996147063,1034.9586571443,-1232.09121371893,27509.1293585267,7669.28416537691,3519.70351609093,5287.26410856843,0.955372509989969
"10766",-2759.09367667127,195.554091405183,135.561124283779,24.6052523874521,703.683346794006,33542.7609004093,NA,NA,-717.88001568898,1
"673",-12616.0628093663,222.222429366632,-2607.02926140879,407.640569009772,260.803214327454,24072.2739317214,1182.12783658288,-147.059913029059,-849.597717219246,0.790217102564135
"1346",-14290.8552094681,222.949934171631,-2555.18296409052,450.619830836591,199.442645334505,24362.6188600243,1573.5097428538,7.11062961103758,-600.173995972885,0.7914237921433
"2692",-9786.86188824896,111.252049547378,1142.35746959609,607.667290196999,-750.456099971058,20961.4296764884,-3775.19408454497,-7336.44589332956,-7770.71097750942,0.957563634282273
"5384",-20746.8771575263,328.420298716453,7223.23408634775,660.64787631272,-2859.62504084014,NA,-8241.97290081683,-9640.19471295217,-3501.36195565928,1
